Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1113,733,V,ArkansasLR,30,34,64,132.5,139.5,1400,74.5
1113,734,H,Mississippi,44,48,92,13,16.5,-2100,7
1113,735,V,NewOrleansU,32,27,59,121.5,126.5,1100,71
1113,736,H,Georgia,34,33,67,16,16,-1600,8
1113,737,V,Massachusetts,35,32,67,147,147,160,78.5
1113,738,H,CentralFlorida,38,46,84,3.5,4,-185,1.5
1113,739,V,Pennsylvania,29,26,55,134,139,1000,72.5
1113,740,H,PennState,36,34,70,14.5,14.5,-1500,6.5
1113,741,V,ULMonroe,29,33,62,137.5,140,1150,74
1113,742,H,LSU,40,42,82,18.5,16,-1800,6
1113,743,V,NorthernIllinois,25,30,55,133.5,132.5,775,70.5
1113,744,H,Northwestern,39,38,77,14,14,-1200,5.5
1113,745,V,LoyolaChicago,18,36,54,139,139,1800,71
1113,746,H,KansasState,37,55,92,21.5,21.5,-3600,8
1113,747,V,Hofstra,27,38,65,136.5,145.5,3000,75.5
1113,748,H,Kansas,48,53,101,27,25,-7000,9.5
1113,749,V,Drexel,29,33,67,120,121.5,190,66
1113,750,H,StJosephs,31,31,77,5.5,5,-230,3
1113,751,V,SouthFlorida,29,38,67,121,123,-102,68
1113,752,H,SMU,32,29,61,0,1,-118,0
1113,753,V,IdahoU,47,47,94,128,134,450,75
1113,754,H,Utah,41,46,87,12,10,-600,8
1113,755,V,Georgetown,32,42,74,10,10.5,-600,5.5
1113,756,H,Tulane,27,31,58,121,126,450,68
1113,757,V,Bradley,25,35,60,142,143,700,73
1113,758,H,BYU,32,38,70,13.5,13,-1100,6
1113,759,V,NorthernIowa,23,48,71,5,3.5,-175,1.5
1113,760,H,DenverU,21,44,65,114.5,118,155,61
1113,761,V,CalPolySLO,28,34,62,131,131,575,71
1113,762,H,SanFrancisco,44,29,73,12,12,-850,4
1113,763,V,NewMexicoState,26,42,68,147.5,147.5,360,77
1113,764,H,SaintMarysCA,41,59,100,7,9,-440,3
1113,765,V,Stanford,32,32,64,1,1,-115,0.5
1113,766,H,SanDiego,35,42,77,130,130,-105,71
1113,767,V,Pacific,25,30,67,4,4.5,-170,1.5
1113,768,H,Pepperdine,20,35,64,125,127,165,66.5
1113,769,N,HoustonBaptist,30,34,64,NL,NL,1350,NL
1113,770,N,SouthAlabama,35,41,76,20.5,17,-2000,8.5
1113,771,V,SacramentoState,22,29,51,NL,NL,1315,NL
1113,772,H,Rice,34,47,81,15.5,17,-2200,7
1113,773,N,WiscGreenBay,30,26,56,140,137.5,120,72.5
1113,774,N,UAB,28,40,68,2.5,2.5,-140,3
1113,775,V,Samford,34,32,66,126,122,475,67
1113,776,H,KentState,31,38,69,12,10.5,-650,7
1113,777,N,Belmont,36,38,74,NL,NL,180,NL
1113,778,N,PortlandState,31,36,67,6.5,4.5,-220,3.5
1113,779,V,WrightState,28,41,69,133,133.5,1000,71.5
1113,780,H,WashingtonU,40,34,74,14.5,15,-1500,5.5
1113,781,N,LoyolaMarymount,45,42,87,141,148.5,310,81
1113,782,N,BoiseState,45,45,90,10,8,-370,4.5
1113,783,V,NorthDakota,22,15,37,NL,NL,850,NL
1113,784,H,Montana,24,37,61,14.5,14.5,-1300,8
1113,785,N,ColoradoState,48,43,91,1,NL,102,NL
1113,786,N,UCDavis,42,31,73,NL,1,-122,1.5
1113,787,V,WinstonSalemState,15,28,43,NL,NL,2750,NL
1113,788,H,Oregon,56,38,94,20,22.5,-6000,8.5
1113,789,V,MoreheadState,25,34,59,135,135,1600,71.5
1113,790,H,Kentucky,33,42,75,20.5,17.5,-2500,8
1113,791,V,NCGreensboro,27,35,62,131,133.5,6000,71.5
1113,792,H,Duke,48,48,96,30.5,31,-15000,12
1113,793,V,Wofford,31,29,60,137.5,136.5,1000,70.5
1113,794,H,Pittsburgh,24,39,63,17,15,-1500,10.5
1113,795,V,StPeters,27,24,51,128.5,134,1300,70
1113,796,H,SetonHall,22,31,53,17.5,17.5,-2150,11
1113,797,V,NCWilmington,31,37,68,159,152.5,400,80.5
1113,798,H,AppalachianSt,44,35,79,11,9.5,-500,2.5
1113,799,V,AustinPeay,25,29,54,158,160.5,2750,80
1113,800,H,Tennessee,31,52,83,24,24.5,-6000,12.5
1113,801,V,TennesseeTech,22,28,50,143,143,2000,74
1113,802,H,Minnesota,37,50,87,21,22.5,-4000,8
1113,803,V,Siena,38,47,85,14,14,-1200,5
1113,804,H,TennesseeState,28,41,69,157.5,157.5,775,81
1113,805,V,IdahoState,24,44,68,126,129,925,69.5
1113,806,H,IowaState,44,44,88,13,15,-1400,4.5
1113,807,V,Rider,44,44,88,145,146,1000,80
1113,808,H,MississippiSt,42,32,74,15.5,15,-1500,9.5
1113,809,V,UtahState,28,38,66,4,3,-155,69
1113,810,H,WeberState,21,39,60,134.5,134.5,135,0.5
1113,811,V,Niagara,33,32,65,144.5,145,210,77
1113,812,H,Auburn,33,36,69,7,5.5,-250,3.5
1113,813,V,Howard,23,37,60,NL,NL,1900,NL
1113,814,H,IndianaU,40,43,83,19.5,21.5,-3800,8
1114,521,V,Princeton,43,28,71,107,115,240,66.5
1114,522,H,CentralMichigan,39,29,68,6,6.5,-280,5
1114,523,V,Temple,40,36,76,6,7.5,-340,70.5
1114,524,H,Delaware,19,37,56,133,134,280,0.5
1114,525,V,Creighton,46,34,80,134,140.5,280,77.5
1114,526,H,Dayton,41,49,90,7,7.5,-340,6
1114,527,V,Cornell,26,45,71,146,145.5,245,74.5
1114,528,H,Alabama,20,47,67,6.5,6.5,-290,4.5
1114,529,V,SoMississippi,31,48,79,136.5,138,125,NL
1114,530,H,ULLafayette,28,44,72,2.5,2.5,-145,3
1114,531,V,CalRiverside,22,29,51,127,134.5,1050,70.5
1114,532,H,NewMexico,39,28,67,17,15,-1600,4.5
1114,533,N,Samford,30,38,68,NL,NL,155,NL
1114,534,N,WiscGreenBay,35,35,70,3.5,3.5,-175,1
1114,535,V,UAB,24,41,65,NL,NL,130,1
1114,536,H,KentState,35,37,72,2.5,2.5,-150,NL
1114,537,V,SacramentoState,38,32,70,4.5,2.5,-155,1
1114,538,H,HoustonBaptist,35,25,60,NL,NL,135,NL
1114,539,V,SouthAlabama,27,42,69,NL,NL,225,NL
1114,540,H,Rice,38,33,71,5.5,6.5,-265,1
1114,541,N,ColoradoState,22,35,57,17,16,-1700,10.5
1114,542,N,WinstonSalemState,28,12,40,NL,NL,1100,NL
1114,543,V,UCDavis,28,36,64,NL,NL,1315,NL
1114,544,H,Oregon,42,53,95,14,17,-2200,6.5
1114,545,N,PortlandState,24,46,70,NL,NL,190,2
1114,546,N,WrightState,39,36,75,6.5,5,-230,NL
1114,547,V,Belmont,39,39,78,NL,NL,1500,NL
1114,548,H,WashingtonU,49,47,96,17.5,19.5,-3000,9.5
1114,549,N,LoyolaMarymount,39,44,83,3,7,-300,NL
1114,550,N,NorthDakota,22,38,60,NL,NL,250,1
1114,551,V,BoiseState,42,40,82,NL,NL,145,1
1114,552,H,Montana,52,43,95,4.5,3,-165,NL
1114,553,V,Davidson,35,27,62,NL,NL,775,NL
1114,554,H,Butler,37,36,73,12.5,14,-1200,7
1114,555,V,Marist,35,32,67,NL,NL,1280,NL
1114,556,H,Rutgers,41,33,74,14.5,16.5,-2100,7.5
1114,557,V,PortlandU,25,39,64,7,5,-225,1.5
1114,558,H,EWashington,19,39,58,NL,NL,185,NL
1114,559,V,EasternIllinois,31,41,72,NL,NL,140,NL
1114,560,H,Toledo,25,37,62,3.5,3,-160,3
1114,561,V,SEMissouriSt,20,21,41,NL,NL,1420,NL
1114,562,H,SaintLouis,30,29,59,18,18,-2600,8
1114,563,V,TennMartin,25,38,63,NL,NL,885,NL
1114,564,H,SouthernIllinois,43,48,91,13,14,-1350,5
1114,565,V,MontanaState,31,30,61,NL,NL,575,NL
1114,566,H,Nevada,50,25,75,11,12.5,-850,2.5
1114,567,V,NorthernMichigan,25,25,50,NL,NL,NL,NL
1114,568,H,Michigan,51,46,97,NL,NL,NL,NL
1115,709,V,CalIrvine,21,21,42,135,134.5,2500,72
1115,710,H,Texas,42,47,89,26,25,-5000,10
1115,711,V,GeoWashington,32,44,76,4,2.5,-155,3
1115,712,H,NCWilmington,41,30,71,NL,150,135,NL
1115,713,V,WakeForest,46,43,89,16.5,15.5,-1700,5.5
1115,714,H,EastCarolina,28,30,58,NL,NL,1100,NL
1115,715,V,William&Mary,25,36,85,NL,NL,173,NL
1115,716,H,Harvard,33,28,87,4,4.5,-205,1
1115,717,V,WesternMichigan,34,46,80,NL,NL,158,NL
1115,718,H,DetroitU,39,47,86,4,4,-180,1
1115,719,V,FloridaIntl,20,29,49,NL,NL,2000,NL
1115,720,H,Tulsa,36,45,81,21,22.5,-4000,9.5
1115,721,V,Dartmouth,24,20,44,NL,NL,1600,NL
1115,722,H,GeorgeMason,28,32,60,21,19.5,-3200,10
1115,723,V,OregonState,24,36,60,NL,NL,380,NL
1115,724,H,TexasTech,30,34,64,8,9,-475,3
1115,725,V,Valparaiso,31,46,77,NL,150,2250,67
1115,726,H,NorthCarolina,38,50,88,21,23,-4500,10.5
1115,727,V,Brown,23,32,55,NL,NL,1800,NL
1115,728,H,VirginiaTech,34,35,69,20,21,-3600,9.5
1115,729,V,CalPolySLO,23,30,53,NL,NL,1300,NL
